source_label,source,relation,target_label,target
Character,A-Bomb,HAS_GENDER,Gender,Male
Character,A-Bomb,HAS_RACE,Race,Human
Character,A-Bomb,HAS_ALIGNMENT,Alignment,good
Character,A-Bomb,HAS_PUBLISHER,Publisher,Marvel Comics
Character,A-Bomb,HAS_OCCUPATION,Occupation,"Musician, adventurer, author; formerly talk show host"
Character,A-Bomb,HAS_INTELLIGENCE,Stat,38
Character,A-Bomb,HAS_STRENGTH,Stat,100
Character,A-Bomb,HAS_SPEED,Stat,17
Character,A-Bomb,HAS_DURABILITY,Stat,80
Character,A-Bomb,HAS_POWER,Stat,24
Character,A-Bomb,HAS_COMBAT,Stat,64
Character,Abe Sapien,HAS_GENDER,Gender,Male
Character,Abe Sapien,HAS_RACE,Race,Icthyo Sapien
Character,Abe Sapien,HAS_ALIGNMENT,Alignment,good
Character,Abe Sapien,HAS_PUBLISHER,Publisher,Dark Horse Comics
Character,Abe Sapien,HAS_OCCUPATION,Occupation,Paranormal Investigator
Character,Abe Sapien,HAS_INTELLIGENCE,Stat,88
Character,Abe Sapien,HAS_STRENGTH,Stat,28
Character,Abe Sapien,HAS_SPEED,Stat,35
Character,Abe Sapien,HAS_DURABILITY,Stat,65
Character,Abe Sapien,HAS_POWER,Stat,100
Character,Abe Sapien,HAS_COMBAT,Stat,85
Character,Abin Sur,HAS_GENDER,Gender,Male
Character,Abin Sur,HAS_RACE,Race,Ungaran
Character,Abin Sur,HAS_ALIGNMENT,Alignment,good
Character,Abin Sur,HAS_PUBLISHER,Publisher,DC Comics
Character,Abin Sur,HAS_OCCUPATION,Occupation,"Green Lantern, former history professor"
Character,Abin Sur,HAS_INTELLIGENCE,Stat,50
Character,Abin Sur,HAS_STRENGTH,Stat,90
Character,Abin Sur,HAS_SPEED,Stat,53
Character,Abin Sur,HAS_DURABILITY,Stat,64
Character,Abin Sur,HAS_POWER,Stat,99
Character,Abin Sur,HAS_COMBAT,Stat,65
Character,Abomination,HAS_GENDER,Gender,Male
Character,Abomination,HAS_RACE,Race,Human / Radiation
Character,Abomination,HAS_ALIGNMENT,Alignment,bad
Character,Abomination,HAS_PUBLISHER,Publisher,Marvel Comics
Character,Abomination,HAS_OCCUPATION,Occupation,Ex-Spy
Character,Abomination,HAS_INTELLIGENCE,Stat,63
Character,Abomination,HAS_STRENGTH,Stat,80
Character,Abomination,HAS_SPEED,Stat,53
Character,Abomination,HAS_DURABILITY,Stat,90
Character,Abomination,HAS_POWER,Stat,62
Character,Abomination,HAS_COMBAT,Stat,95
Character,Abraxas,HAS_GENDER,Gender,Male
Character,Abraxas,HAS_RACE,Race,Cosmic Entity
Character,Abraxas,HAS_ALIGNMENT,Alignment,bad
Character,Abraxas,HAS_PUBLISHER,Publisher,Marvel Comics
Character,Abraxas,HAS_OCCUPATION,Occupation,Dimensional destroyer
Character,Abraxas,HAS_INTELLIGENCE,Stat,88
Character,Abraxas,HAS_STRENGTH,Stat,63
Character,Abraxas,HAS_SPEED,Stat,83
Character,Abraxas,HAS_DURABILITY,Stat,100
Character,Abraxas,HAS_POWER,Stat,100
Character,Abraxas,HAS_COMBAT,Stat,55
Character,Absorbing Man,HAS_GENDER,Gender,Male
Character,Absorbing Man,HAS_RACE,Race,Human
Character,Absorbing Man,HAS_ALIGNMENT,Alignment,bad
Character,Absorbing Man,HAS_PUBLISHER,Publisher,Marvel Comics
Character,Absorbing Man,HAS_OCCUPATION,Occupation,Professional criminal; former professional boxer
Character,Absorbing Man,HAS_INTELLIGENCE,Stat,38
Character,Absorbing Man,HAS_STRENGTH,Stat,80
Character,Absorbing Man,HAS_SPEED,Stat,25
Character,Absorbing Man,HAS_DURABILITY,Stat,100
Character,Absorbing Man,HAS_POWER,Stat,98
Character,Absorbing Man,HAS_COMBAT,Stat,64
Character,Adam Monroe,HAS_GENDER,Gender,Male
Character,Adam Monroe,HAS_RACE,Race,
Character,Adam Monroe,HAS_ALIGNMENT,Alignment,good
Character,Adam Monroe,HAS_PUBLISHER,Publisher,NBC - Heroes
Character,Adam Monroe,HAS_OCCUPATION,Occupation,"former samurai swordsman, former British mercenary commander, former soldier in the Confederate Army"
Character,Adam Monroe,HAS_INTELLIGENCE,Stat,63
Character,Adam Monroe,HAS_STRENGTH,Stat,10
Character,Adam Monroe,HAS_SPEED,Stat,12
Character,Adam Monroe,HAS_DURABILITY,Stat,100
Character,Adam Monroe,HAS_POWER,Stat,100
Character,Adam Monroe,HAS_COMBAT,Stat,64
Character,Adam Strange,HAS_GENDER,Gender,Male
Character,Adam Strange,HAS_RACE,Race,Human
Character,Adam Strange,HAS_ALIGNMENT,Alignment,good
Character,Adam Strange,HAS_PUBLISHER,Publisher,DC Comics
Character,Adam Strange,HAS_OCCUPATION,Occupation,"Adventurer, archaelogist, ambassador"
Character,Adam Strange,HAS_INTELLIGENCE,Stat,69
Character,Adam Strange,HAS_STRENGTH,Stat,10
Character,Adam Strange,HAS_SPEED,Stat,33
Character,Adam Strange,HAS_DURABILITY,Stat,40
Character,Adam Strange,HAS_POWER,Stat,37
Character,Adam Strange,HAS_COMBAT,Stat,50
Character,Agent Bob,HAS_GENDER,Gender,Male
Character,Agent Bob,HAS_RACE,Race,Human
Character,Agent Bob,HAS_ALIGNMENT,Alignment,good
Character,Agent Bob,HAS_PUBLISHER,Publisher,Marvel Comics
Character,Agent Bob,HAS_OCCUPATION,Occupation,"Mercenary, janitor; former pirate, terrorist"
Character,Agent Bob,HAS_INTELLIGENCE,Stat,10
Character,Agent Bob,HAS_STRENGTH,Stat,8
